Page Number,School Name,Address 1,Address 2,City,State,Zip,Phone,Principal Name,School Website,District,Grades Served,Data Quality Score,Data Quality Issues
1,21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,"400 S Oklahoma Ave, Weslaco, TX 78596",400 S Oklahoma Ave,Weslaco,TX,78596,(956) 969-6620,Claudia Martinez,http://www.wisd.us/,Weslaco ISD,Prekindergarten - Prekindergarten,100,
1,A B DUNCAN COLLEGIATE ELEM,"1101 S 8th St, Floydada, TX 79235",1101 S 8th St,Floydada,TX,79235,(806) 983-5332,Mrs Monica Smith,http://www.floydadaisd.esc17.net/,Floydada Collegiate ISD,Early Education - Grade 5,100,
1,A B MCBAY ELEM,"1000 N Ross, Mexia, TX 76667",1000 N Ross,Mexia,TX,76667,(254) 562-4030,Mrs Carolyn Cummings,http://www.mexiaisd.net/,Mexia ISD,Early Education - Grade 2,100,
1,A G ELDER ELEM,"513 Henderson St, Joshua, TX 76058",513 Henderson St,Joshua,TX,76058,(817) 202-2500,Mrs Kim Cassidy,http://www.joshuaisd.org/,Joshua ISD,Early Education - Grade 5,100,
1,A M OCHOA ELEM,"424 S 11th St, Donna, TX 78537",424 S 11th St,Donna,TX,78537,(956) 464-1900,Mr Alfonso Sayavedra,http://www.donnaisd.net/,Donna ISD,Prekindergarten - Grade 5,100,
1,A M PATE ELEM,"3800 Anglin Dr, Fort Worth, TX 76119",3800 Anglin Dr,Fort Worth,TX,76119,(817) 815-3800,Ms Rochelle Horton,http://www.fortworthisd.org/,Fort Worth ISD,Prekindergarten - Grade 5,100,
1,A N RICO ELEM,"2202 N International Blvd, Weslaco, TX 78596",2202 N International Blvd,Weslaco,TX,78596,(956) 969-6815,Ms Jennifer Luna,http://rico.wisd.us/,Weslaco ISD,Prekindergarten - Grade 5,100,
1,A P BEUTEL ELEM,"300 Ligustrum St, Lake Jackson, TX 77566",300 Ligustrum St,Lake Jackson,TX,77566,(979) 730-7165,Laura Morris,Not Found,Brazosport ISD,Kindergarten - Grade 4,90,School Website not available
1,A V CATO ELEM,"4501 Barbara Rd, Fort Worth, TX 76114",4501 Barbara Rd,Fort Worth,TX,76114,(817) 252-2400,Mrs Meredith Michelle Strambler,http://avc.castleberryisd.net/,Castleberry ISD,Prekindergarten - Grade 5,100,
1,A+ ACADEMY ELEM,"10327 Rylie Rd, Dallas, TX 75217",10327 Rylie Rd,Dallas,TX,75217,(972) 557-5578,Michelle Thrash,http://www.rylieffa.com/,A+ Academy,Prekindergarten - Grade 6,100,
1,AARON PARKER ELEM,"98 CR 44112, Powderly, TX 75473",98 CR 44112,Powderly,TX,75473,(903) 732-3066,Mrs Kristin Hughes,http://www.northlamar.net/,North Lamar ISD,Prekindergarten - Grade 4,100,
1,ABBETT ELEM,"730 W Muirfield Rd, Garland, TX 75044",730 W Muirfield Rd,Garland,TX,75044,(972) 675-3000,Ms Kelly Williams,http://www.garlandisdschools.net/abbett,Garland ISD,Kindergarten - Grade 5,100,
1,ABBOTT SCHOOL,"219 S First St, Abbott, TX 76621",219 S First St,Abbott,TX,76621,(254) 582-3011,Jon K Coker,http://www.abbottisd.org/,Abbott ISD,Prekindergarten - Grade 12,100,
1,ABERNATHY ELEM,"505 7th St, Abernathy, TX 79311",505 7th St,Abernathy,TX,79311,(806) 298-4930,Jenci Chambers,http://www.abernathyisd.com/,Abernathy ISD,Early Education - Grade 5,100,
1,ACADEMY EARLY CHILDHOOD CENTER,"311 N Bumblebee Dr, Little River, TX 76554",311 N Bumblebee Dr,Little River,TX,76554,(254) 982-4621,Mrs Kelli Schwake,http://www.academyisd.net/,Academy ISD,Prekindergarten - Grade 2,100,
